Uniprot	Protein
A0A087WZ30	RECQL4
A0A0A6YYF3	GPR75-ASB3
A0AV96	RBM47
A0FGR8	ESYT2
A6H8Y1	BDP1
A6NHR9	SMCHD1
B0I1T2	MYO1G
H0YBQ0	TXNRD3
O00203	AP3B1
O00399	DCTN6
O00425	IGF2BP3
O00541	PES1
O14617	AP3D1
O14920	IKBKB
O15031	PLXNB2
O15360	FANCA
O43149	ZZEF1
O43390	HNRNPR
O60293	ZFC3H1
O60307	MAST3
O60343	TBC1D4
O60506	SYNCRIP
O60831	PRAF2
O60858	TRIM13
O75182	SIN3B
O75208	COQ9
O75362	ZNF217
O75448	MED24
O75521	ECI2
O75533	SF3B1
O75592	MYCBP2
O75676	RPS6KA4
O75912	DGKI
O76062	TM7SF2
O94822	LTN1
O94855	SEC24D
O95163	IKBKAP
O95544	NADK
O95630	STAMBP
O95671	ASMTL
O95714	HERC2
O95822	MLYCD
O95870	ABHD16A
O95881	TXNDC12
O95995	GAS8
O96020	CCNE2
P02771	AFP
P04818	TYMS
P08567	PLEK
P09601	HMOX1
P0C024	NUDT7
P12532	CKMT1B
P13224	GP1BB
P15498	VAV1
P25054	APC
P31350	RRM2
P31930	UQCRC1
P32189	GK
P35270	SPR
P35573	AGL
P35658	NUP214
P39023	RPL3
P42575	CASP2
P42680	TEC
P42694	HELZ
P42695	NCAPD3
P43005	SLC1A1
P43007	SLC1A4
P46527	CDKN1B
P46939	UTRN
P47712	PLA2G4A
P49815	TSC2
P50443	SLC26A2
P51114	FXR1
P51451	BLK
P51784	USP11
P51798	CLCN7
P51957	NEK4
P52306	RAP1GDS1
P52789	HK2
P52848	NDST1
P52948	NUP98
P53602	MVD
P53634	CTSC
P53667	LIMK1
P54198	HIRA
P54764	EPHA4
P55199	ELL
P55317	FOXA1
P55786	NPEPPS
P55957	BID
P56589	PEX3
P57764	GSDMD
P57772	EEFSEC
P61201	COPS2
P68402	PAFAH1B2
P78417	GSTO1
P78527	PRKDC
P80365	HSD11B2
P84022	SMAD3
Q00610	CLTC
Q00765	REEP5
Q00796	SORD
Q01813	PFKP
Q03519	TAP2
Q05823	RNASEL
Q06187	BTK
Q07812	BAX
Q08999	RBL2
Q08J23	NSUN2
Q0VDI3	C5orf28
Q12893	TMEM115
Q12980	NPRL3
Q13286	CLN3
Q13867	BLMH
Q13905	RAPGEF1
Q14145	KEAP1
Q14146	URB2
Q14153	FAM53B
Q14289	PTK2B
Q14571	ITPR2
Q14684	RRP1B
Q14687	GSE1
Q14966	ZNF638
Q15013	MAD2L1BP
Q15021	NCAPD2
Q15329	E2F5
Q15366	PCBP2
Q15390	MTFR1
Q15562	TEAD2
Q16678	CYP1B1
Q16880	UGT8
Q29RF7	PDS5A
Q53TQ3	INO80D
Q5SVZ6	ZMYM1
Q5T160	RARS2
Q5T1V6	DDX59
Q5T4F4	ZFYVE27
Q5T5J6	SWT1
